city_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
115,faanui,PF,80.85,broken clouds,-16.4833,-151.75,Oa Oa Lodge
118,tiarei,PF,87.82,few clouds,-17.5333,-149.3333,No hotel found
121,espinosa,BR,73.96,overcast clouds,-14.9261,-42.8192,No hotel found
122,isabela,PH,73.45,overcast clouds,6.7085,121.9711,No hotel found
124,barra do garcas,BR,74.25,overcast clouds,-15.89,-52.2567,Pousada Portal
128,pisco,PE,77.05,clear sky,-13.7,-76.2167,La Portada
130,vanimo,PG,79.16,overcast clouds,-2.6741,141.3028,CBC Guesthouse
131,samana,DO,76.96,clear sky,19.2056,-69.3369,Hotel Cotubanamá
132,mar del plata,AR,74.82,mist,-38.0023,-57.5575,Nuevo Ostende
133,paita,PE,72.27,overcast clouds,-5.0892,-81.1144,Victor's
140,bluff,NZ,60.1,broken clouds,-46.6,168.3333,No hotel found
142,bubaque,GW,77.09,broken clouds,11.2833,-15.8333,Chez Julio
143,bumba,CD,72.77,broken clouds,2.1833,22.4667,No hotel found
146,marshall,US,69.78,clear sky,34.3834,-86.3333,No hotel found
148,san jose,US,60.01,few clouds,37.3394,-121.895,Hotel De Anza
149,ahipara,NZ,70.88,clear sky,-35.1667,173.1667,YHA Ahipara
150,beruwala,LK,74.28,overcast clouds,6.4788,79.9828,Villa@113
151,ambilobe,MG,72.23,overcast clouds,-13.2,49.05,Hôtel National
156,hualmay,PE,71.62,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
157,thinadhoo,MV,80.28,few clouds,0.5333,72.9333,No hotel found
161,mapiripan,CO,77.85,overcast clouds,2.8892,-72.1256,No hotel found
164,makakilo city,US,81.45,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
172,port macquarie,AU,78.89,broken clouds,-31.4333,152.9167,The Observatory
173,raga,SS,70.02,few clouds,8.4596,25.678,No hotel found
175,carnarvon,AU,76.26,clear sky,-24.8667,113.6333,No hotel found
178,butaritari,KI,81.73,few clouds,3.0707,172.7902,No hotel found
181,meulaboh,ID,72.45,overcast clouds,4.1363,96.1285,Hotel Meuligou
182,talara,PE,77.76,broken clouds,-4.5772,-81.2719,Hospedaje El Aypate
183,yeppoon,AU,74.98,broken clouds,-23.1333,150.7333,Blossom's on Seaspray
184,vila velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Prainha
188,kaitangata,NZ,63.64,broken clouds,-46.2817,169.8464,No hotel found
189,kasempa,ZM,61.9,overcast clouds,-13.4584,25.8338,Kasmpa Council Guest House
190,santiago del estero,AR,99.12,broken clouds,-27.7951,-64.2615,Nuevo Hotel Brístol
192,sao filipe,CV,77.13,overcast clouds,14.8961,-24.4956,Bela Vista
197,georgetown,MY,76.95,few clouds,5.4112,100.3354,Page 63 hostel
201,pontian kecil,MY,75.52,overcast clouds,1.4801,103.3899,Hotel Wan Loong
202,pemangkat,ID,76.03,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
203,richards bay,ZA,75.97,broken clouds,-28.783,32.0377,Protea Hotel
204,kavaratti,IN,79.52,few clouds,10.5669,72.642,No hotel found
205,najran,SA,68.65,scattered clouds,17.4924,44.1277,No hotel found
207,salalah,OM,71.69,clear sky,17.0151,54.0924,Muscat International Hotel
209,sal rei,CV,73.45,overcast clouds,16.1833,-22.9167,Hotel Marine Club
210,kainantu,PG,62.15,overcast clouds,-6.2887,145.8655,Kainantu Lodge
212,hoi an,VN,66.16,overcast clouds,15.8794,108.335,No hotel found
213,ponta do sol,PT,64.0,light rain,32.6667,-17.1,Estalagem Ponta do Sol
214,saint-pierre,RE,80.28,clear sky,-21.3393,55.4781,Tropic Hotel
216,broken hill,AU,82.81,scattered clouds,-31.95,141.4333,Ibis Styles
220,san patricio,US,79.52,broken clouds,28.017,-97.5169,No hotel found
224,port-gentil,GA,80.56,light rain,-0.7193,8.7815,Tara-Mé
225,reo,BF,72.88,few clouds,12.3167,-2.4667,No hotel found
226,bengkulu,ID,75.15,overcast clouds,-3.8004,102.2655,Dena Hotel
228,barao de melgaco,BR,76.08,moderate rain,-16.1944,-55.9675,No hotel found
229,chauk,MM,60.76,clear sky,20.8833,94.8167,Royal Chauk
233,port blair,IN,68.04,mist,11.6667,92.75,Andaman Ocean Breeze
241,maldonado,UY,76.39,clear sky,-34.6667,-54.9167,No hotel found
242,benguela,AO,77.63,broken clouds,-12.5763,13.4055,Hotel Moibela
246,aloleng,PH,78.04,broken clouds,16.1307,119.7824,No hotel found
250,touros,BR,78.21,broken clouds,-5.1989,-35.4608,Pousada Atlântico
251,west monroe,US,78.8,clear sky,32.5185,-92.1476,Wingate
254,warri,NG,77.67,overcast clouds,5.5167,5.75,Warri Sapele Road
256,neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel Argentina 307
257,hithadhoo,MV,80.13,broken clouds,-0.6,73.0833,Pebbles Inn
259,yaan,NG,81.48,clear sky,7.3833,8.5667,No hotel found
260,mersing,MY,78.71,scattered clouds,2.4312,103.8405,Mersing Inn Hotel
262,cristalina,BR,66.11,overcast clouds,-16.7686,-47.6136,Goyás
266,whyalla,AU,69.49,overcast clouds,-33.0333,137.5833,Whyalla Playford Apartments
268,kirakira,SB,80.31,light rain,-10.4544,161.9205,No hotel found
273,rio bueno,CL,75.34,broken clouds,-40.3167,-72.9667,No hotel found
276,nazareno,MX,77.31,overcast clouds,25.3833,-103.4167,No hotel found
280,san pedro,PH,78.03,broken clouds,14.35,121.0167,Hotel Takara
282,mocuba,MZ,72.19,light rain,-16.8392,36.9856,No hotel found
286,yenagoa,NG,79.34,overcast clouds,4.9247,6.2642,Peretimi Hotels Ltd.
291,porto novo,BJ,82.22,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
292,santa rosa,PH,78.78,overcast clouds,14.3122,121.1114,JARS RESORT
296,mareeba,AU,75.92,light rain,-17.0,145.4333,The Gateway Hotel
297,gigmoto,PH,76.89,overcast clouds,13.7796,124.39,No hotel found
299,durango,MX,69.13,scattered clouds,24.8333,-104.8333,No hotel found
300,kasane,BW,65.01,light rain,-17.8167,25.15,Kasane Travel Lodge
302,talusan,PH,79.48,broken clouds,7.4267,122.8103,No hotel found
307,paoua,CF,72.14,broken clouds,7.2427,16.4406,No hotel found
310,santa luzia,BR,80.94,few clouds,-19.7697,-43.8514,Alcoboca
312,mbinga,TZ,60.58,moderate rain,-10.9333,35.0167,No hotel found
315,sarangarh,IN,60.96,clear sky,21.6,83.0833,No hotel found
316,celestun,MX,78.6,clear sky,20.8667,-90.4,Hotel Flamingo Playa
317,cotonou,BJ,82.38,few clouds,6.3654,2.4183,BENIN ROYAL HOTEL
318,cruzeiro do sul,BR,83.52,scattered clouds,-29.5128,-51.9853,Estrela Palace Hotel
319,oxapampa,PE,62.01,overcast clouds,-10.5775,-75.4017,Yanachaga
322,pemba,MZ,79.5,light rain,-12.974,40.5178,Hotel Rafael
323,arraial do cabo,BR,75.06,clear sky,-22.9661,-42.0278,No hotel found
325,cururupu,BR,73.94,overcast clouds,-1.8283,-44.8683,No hotel found
326,mpulungu,ZM,70.63,moderate rain,-8.7623,31.1141,No hotel found
329,tual,ID,82.99,overcast clouds,-5.6667,132.75,Suita
330,gushikawa,JP,60.03,broken clouds,26.3544,127.8686,No hotel found
332,katete,UG,65.57,overcast clouds,-0.7818,29.7544,No hotel found
334,honiara,SB,80.87,overcast clouds,-9.4333,159.95,King Solomon Hotel
335,nizwa,OM,62.58,scattered clouds,22.9333,57.5333,Nizwa Heritage Inn
336,tibati,CM,70.39,overcast clouds,6.4667,12.6333,No hotel found
338,port moresby,PG,78.22,haze,-9.4431,147.1797,The Sanctuary Hotel and Spa
341,whitianga,NZ,66.63,overcast clouds,-36.8333,175.7,No hotel found
342,east london,ZA,75.51,overcast clouds,-33.0153,27.9116,No hotel found
343,plettenberg bay,ZA,72.34,light rain,-34.0527,23.3716,Milkwood Manor
345,mogadishu,SO,76.59,overcast clouds,2.0371,45.3438,SYL Hotel
348,thaton,MM,63.43,few clouds,16.9206,97.3714,Thuwunnabumi Hotel
349,kaeo,NZ,76.32,scattered clouds,-35.1,173.7833,No hotel found
355,praya,CV,73.94,broken clouds,14.9215,-23.5087,Casa Sodadi
356,port keats,AU,82.99,overcast clouds,-14.25,129.55,No hotel found
359,lucea,JM,79.86,clear sky,18.451,-78.1736,Blue Paloma Bed And Breakfast
362,camacha,PT,60.22,scattered clouds,33.0833,-16.3333,Praia Dourada
364,airai,TL,64.78,overcast clouds,-8.9266,125.4092,No hotel found
365,kampong cham,KH,69.39,scattered clouds,11.9934,105.4635,Phnom Pros Hotel
366,paciran,ID,76.95,light rain,-6.8767,112.3761,No hotel found
369,esperance,AU,60.8,overcast clouds,-33.8667,121.9,Hospitality
371,doljo,PH,79.9,overcast clouds,9.5875,123.7303,Bellevue Resort Panglao
372,viedma,AR,73.31,overcast clouds,-40.8135,-62.9967,Níjar
373,alta floresta,BR,72.32,overcast clouds,-9.8756,-56.0861,Villas Hotel
374,kiama,AU,79.57,broken clouds,-34.6833,150.8667,Nova Kiama
378,rakaia,NZ,70.38,overcast clouds,-43.75,172.0167,No hotel found
