City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,kiunga,PG,-6.1219,141.2906,75.54,93,99,2.15,overcast clouds
110,lebu,CL,-37.6167,-73.65,60.64,76,4,12.21,clear sky
111,avarua,CK,-21.2078,-159.775,80.65,74,100,9.22,overcast clouds
112,talcahuano,CL,-36.7167,-73.1167,62.28,67,0,10.36,clear sky
113,sakaiminato,JP,35.55,133.2333,42.78,87,75,5.75,light intensity shower rain
114,constitucion,CL,-35.3333,-72.4167,61.54,74,6,8.52,clear sky
115,faanui,PF,-16.4833,-151.75,80.85,70,83,11.45,broken clouds
116,norman wells,CA,65.282,-126.8329,-2.16,84,40,4.61,scattered clouds
117,jamestown,US,42.097,-79.2353,49.59,75,100,5.75,light rain
118,tiarei,PF,-17.5333,-149.3333,87.82,77,12,11.81,few clouds
119,longyearbyen,SJ,78.2186,15.6401,17.44,53,0,16.11,clear sky
120,kutum,SD,14.2,24.6667,57.6,30,92,6.51,overcast clouds
121,espinosa,BR,-14.9261,-42.8192,73.96,72,92,6.4,overcast clouds
122,isabela,PH,6.7085,121.9711,73.45,88,97,2.42,overcast clouds
123,brigantine,US,39.4101,-74.3646,44.8,84,100,9.22,overcast clouds
124,barra do garcas,BR,-15.89,-52.2567,74.25,88,100,3.78,overcast clouds
125,paamiut,GL,61.994,-49.6678,19.15,69,100,8.97,overcast clouds
126,victoria,HK,22.2855,114.1577,55.26,67,100,18.01,overcast clouds
127,hay river,CA,60.8156,-115.7999,15.78,92,75,2.3,broken clouds
128,pisco,PE,-13.7,-76.2167,77.05,65,0,18.41,clear sky
129,chumikan,RU,54.7183,135.315,-32.75,90,66,10.76,broken clouds
130,vanimo,PG,-2.6741,141.3028,79.16,86,100,4.54,overcast clouds
131,samana,DO,19.2056,-69.3369,76.96,68,6,6.44,clear sky
132,mar del plata,AR,-38.0023,-57.5575,74.82,96,75,13.0,mist
133,paita,PE,-5.0892,-81.1144,72.27,74,96,13.78,overcast clouds
134,devils lake,US,48.1128,-98.8651,10.51,90,100,11.5,overcast clouds
135,kodiak,US,57.79,-152.4072,35.11,80,20,18.41,light snow
136,jumilla,ES,38.4792,-1.325,51.53,80,41,28.54,scattered clouds
137,mairwa,IN,26.2333,84.15,44.4,63,0,3.94,clear sky
138,katsuura,JP,35.1333,140.3,45.57,86,84,9.57,broken clouds
139,nichinan,JP,31.6,131.3667,46.08,72,7,10.18,clear sky
140,bluff,NZ,-46.6,168.3333,60.1,68,54,11.03,broken clouds
141,ribeira grande,PT,38.5167,-28.7,57.78,91,41,8.99,light rain
142,bubaque,GW,11.2833,-15.8333,77.09,73,78,9.08,broken clouds
143,bumba,CD,2.1833,22.4667,72.77,49,68,2.95,broken clouds
144,kalanguy,RU,51.0167,116.5167,-5.13,100,100,2.75,light snow
145,palana,RU,59.1167,159.9667,-5.8,93,100,4.74,overcast clouds
146,marshall,US,34.3834,-86.3333,69.78,79,0,5.75,clear sky
147,tiznit,MA,29.5833,-9.5,52.29,78,77,9.33,broken clouds
148,san jose,US,37.3394,-121.895,60.01,54,20,8.05,few clouds
149,ahipara,NZ,-35.1667,173.1667,70.88,61,0,9.51,clear sky
150,beruwala,LK,6.4788,79.9828,74.28,89,99,2.53,overcast clouds
151,ambilobe,MG,-13.2,49.05,72.23,95,100,1.99,overcast clouds
152,lavrentiya,RU,65.5833,-171.0,-21.93,92,33,9.66,scattered clouds
153,gazojak,TM,41.1875,61.4036,19.38,75,9,7.58,clear sky
154,havoysund,NO,70.9963,24.6622,35.83,81,67,13.65,broken clouds
155,broome,US,42.2506,-75.833,39.58,84,100,4.61,overcast clouds
156,hualmay,PE,-11.0964,-77.6139,71.62,75,90,9.84,overcast clouds
157,thinadhoo,MV,0.5333,72.9333,80.28,68,13,5.37,few clouds
158,la rochelle,FR,46.1667,-1.15,39.87,87,75,18.41,broken clouds
159,nikolskoye,RU,59.7035,30.7861,33.69,97,100,10.29,overcast clouds
160,aykhal,RU,66.0,111.5,-47.81,99,89,7.05,overcast clouds
161,mapiripan,CO,2.8892,-72.1256,77.85,79,99,3.09,overcast clouds
162,faya,SA,18.3851,42.4509,51.91,77,16,4.03,few clouds
163,berlevag,NO,70.8578,29.0864,35.6,69,38,20.71,scattered clouds
164,makakilo city,US,21.3469,-158.0858,81.45,59,0,8.05,clear sky
165,nuuk,GL,64.1835,-51.7216,14.61,85,75,18.41,light snow
166,tura,IN,25.5198,90.2201,49.71,50,0,2.59,clear sky
167,lardos,GR,36.0942,28.0157,57.02,71,58,17.34,broken clouds
168,havelock,US,34.8791,-76.9013,57.2,73,100,8.05,overcast clouds
169,naze,JP,28.3667,129.4833,56.32,69,86,14.36,overcast clouds
170,clyde river,CA,70.4692,-68.5914,-19.97,76,86,9.22,overcast clouds
171,baruun-urt,MN,46.6806,113.2792,-2.83,97,78,7.78,broken clouds
172,port macquarie,AU,-31.4333,152.9167,78.89,63,57,9.13,broken clouds
173,raga,SS,8.4596,25.678,70.02,26,11,3.56,few clouds
174,kobyzhcha,UA,50.8285,31.5044,40.35,95,100,11.56,overcast clouds
175,carnarvon,AU,-24.8667,113.6333,76.26,68,1,16.53,clear sky
176,killarney,IE,52.05,-9.5167,34.81,82,80,7.67,snow
177,laguna,US,38.421,-121.4238,57.49,63,0,9.22,clear sky
178,butaritari,KI,3.0707,172.7902,81.73,79,17,18.39,few clouds
179,waynesboro,US,38.0685,-78.8895,53.56,83,0,4.61,clear sky
180,chunskiy,RU,56.0815,99.6342,-14.22,95,100,8.12,overcast clouds
181,meulaboh,ID,4.1363,96.1285,72.45,79,100,4.85,overcast clouds
182,talara,PE,-4.5772,-81.2719,77.76,53,75,16.11,broken clouds
183,yeppoon,AU,-23.1333,150.7333,74.98,80,65,17.65,broken clouds
184,vila velha,BR,-20.3297,-40.2925,80.55,86,20,9.22,few clouds
185,omama,JP,36.4333,139.2833,35.46,57,15,2.91,few clouds
186,chokurdakh,RU,70.6333,147.9167,-35.0,100,58,5.1,broken clouds
187,baghdad,IQ,33.3406,44.4009,51.71,82,0,13.8,clear sky
188,kaitangata,NZ,-46.2817,169.8464,63.64,63,54,7.49,broken clouds
189,kasempa,ZM,-13.4584,25.8338,61.9,98,100,2.64,overcast clouds
190,santiago del estero,AR,-27.7951,-64.2615,99.12,22,66,16.15,broken clouds
191,torbay,CA,47.6666,-52.7314,50.29,97,100,14.97,mist
192,sao filipe,CV,14.8961,-24.4956,77.13,60,95,12.12,overcast clouds
193,cap-aux-meules,CA,47.3821,-61.8597,35.62,100,100,13.8,light intensity drizzle
194,havre de grace,US,39.5493,-76.0916,46.63,89,75,4.61,broken clouds
195,okakarara,NA,-20.5833,17.4333,68.65,73,86,2.77,light rain
196,kosonsoy,UZ,41.2561,71.5508,10.96,59,0,7.54,clear sky
197,georgetown,MY,5.4112,100.3354,76.95,87,20,3.44,few clouds
198,khotyn,UA,48.4833,26.5,42.15,78,82,10.94,broken clouds
199,sorland,NO,67.667,12.6934,39.06,65,100,17.2,overcast clouds
200,oktyabrskoye,RU,43.0645,44.7417,24.94,100,53,0.0,mist
201,pontian kecil,MY,1.4801,103.3899,75.52,88,92,7.78,overcast clouds
202,pemangkat,ID,1.1667,108.9667,76.03,88,99,9.78,overcast clouds
203,richards bay,ZA,-28.783,32.0377,75.97,83,56,10.58,broken clouds
204,kavaratti,IN,10.5669,72.642,79.52,75,15,7.45,few clouds
205,najran,SA,17.4924,44.1277,68.65,45,37,4.16,scattered clouds
206,tayshet,RU,55.9342,98.0044,-14.51,94,100,9.06,overcast clouds
207,salalah,OM,17.0151,54.0924,71.69,73,0,2.3,clear sky
208,sobolevo,RU,54.4299,31.8996,33.4,99,100,14.92,light snow
209,sal rei,CV,16.1833,-22.9167,73.45,80,100,18.45,overcast clouds
210,kainantu,PG,-6.2887,145.8655,62.15,95,100,3.0,overcast clouds
211,grindavik,IS,63.8424,-22.4338,23.47,68,20,18.41,few clouds
212,hoi an,VN,15.8794,108.335,66.16,89,100,6.24,overcast clouds
213,ponta do sol,PT,32.6667,-17.1,64.0,76,27,7.65,light rain
214,saint-pierre,RE,-21.3393,55.4781,80.28,50,0,16.11,clear sky
215,asau,RO,46.4333,26.4,42.28,80,100,4.99,overcast clouds
216,broken hill,AU,-31.95,141.4333,82.81,43,36,19.93,scattered clouds
217,fauske,NO,67.2588,15.3918,37.44,80,100,11.18,overcast clouds
218,beringovskiy,RU,63.05,179.3167,-16.46,97,100,15.39,overcast clouds
219,platteville,US,42.7342,-90.4785,36.14,93,100,12.66,overcast clouds
220,san patricio,US,28.017,-97.5169,79.52,68,81,14.7,broken clouds
221,udachnyy,RU,66.4167,112.4,-54.81,99,95,4.5,overcast clouds
222,upernavik,GL,72.7868,-56.1549,-8.91,96,100,4.29,overcast clouds
223,pasighat,IN,28.0667,95.3333,52.39,85,48,3.85,scattered clouds
224,port-gentil,GA,-0.7193,8.7815,80.56,89,20,4.61,light rain
225,reo,BF,12.3167,-2.4667,72.88,16,17,9.6,few clouds
226,bengkulu,ID,-3.8004,102.2655,75.15,90,99,5.14,overcast clouds
227,matagami,CA,49.7502,-77.6328,28.51,50,100,2.3,overcast clouds
228,barao de melgaco,BR,-16.1944,-55.9675,76.08,82,100,1.34,moderate rain
229,chauk,MM,20.8833,94.8167,60.76,55,0,1.1,clear sky
230,toora-khem,RU,52.4675,96.11,9.09,83,100,13.89,overcast clouds
231,arman,RU,59.7,150.1667,-20.2,83,100,12.26,overcast clouds
232,caceres,ES,39.522,-6.3748,41.74,91,99,16.82,overcast clouds
233,port blair,IN,11.6667,92.75,68.04,94,20,0.0,mist
234,iqaluit,CA,63.7506,-68.5145,-11.31,69,100,2.3,overcast clouds
235,chegdomyn,RU,51.1167,133.0167,-27.04,100,100,0.78,overcast clouds
236,hvide sande,DK,56.0045,8.1294,34.09,85,81,15.5,light snow
237,kadrina,EE,59.3347,26.145,34.11,97,100,10.6,overcast clouds
238,la ronge,CA,55.1001,-105.2842,19.65,86,100,6.91,overcast clouds
239,khatanga,RU,71.9667,102.5,-38.83,100,38,5.06,scattered clouds
240,dudinka,RU,69.4058,86.1778,-36.78,93,85,5.37,overcast clouds
241,maldonado,UY,-34.6667,-54.9167,76.39,65,0,15.12,clear sky
242,benguela,AO,-12.5763,13.4055,77.63,75,56,5.66,broken clouds
243,kutahya,TR,39.4242,29.9833,43.16,76,71,13.94,broken clouds
244,oktyabrskiy,RU,54.4815,53.471,-2.36,91,22,4.7,few clouds
245,along,IN,28.1667,94.7667,46.94,96,47,1.61,scattered clouds
246,aloleng,PH,16.1307,119.7824,78.04,73,75,9.44,broken clouds
247,zhigansk,RU,66.7697,123.3711,-47.63,92,99,2.98,overcast clouds
248,hamilton,US,39.1834,-84.5333,59.63,59,40,20.71,scattered clouds
249,yuxia,CN,34.0615,108.6291,23.83,47,18,4.72,few clouds
250,touros,BR,-5.1989,-35.4608,78.21,82,78,12.39,broken clouds
251,west monroe,US,32.5185,-92.1476,78.8,44,0,11.5,clear sky
252,xichang,CN,27.8964,102.2634,24.4,75,9,2.84,clear sky
253,kakching,IN,24.4833,93.9833,39.76,92,0,1.25,clear sky
254,warri,NG,5.5167,5.75,77.67,81,97,3.18,overcast clouds
255,rutland,US,43.6167,-73.0162,37.45,71,100,0.0,light snow
256,neuquen,AR,-38.9516,-68.0591,84.09,39,0,6.91,clear sky
257,hithadhoo,MV,-0.6,73.0833,80.13,68,60,5.26,broken clouds
258,qaqortoq,GL,60.7167,-46.0333,15.19,65,100,9.33,overcast clouds
259,yaan,NG,7.3833,8.5667,81.48,17,5,6.24,clear sky
260,mersing,MY,2.4312,103.8405,78.71,83,40,9.22,scattered clouds
261,vestmannaeyjar,IS,63.4427,-20.2734,24.67,71,0,17.98,clear sky
262,cristalina,BR,-16.7686,-47.6136,66.11,75,85,4.94,overcast clouds
263,saint-denis,FR,48.9167,2.3333,36.95,87,0,9.22,clear sky
264,ilulissat,GL,69.2167,-51.1,-11.18,53,40,4.61,scattered clouds
265,saint anthony,US,45.0205,-93.218,35.53,90,100,12.66,overcast clouds
266,whyalla,AU,-33.0333,137.5833,69.49,80,100,20.98,overcast clouds
267,bridlington,GB,54.0831,-0.1919,31.93,77,23,16.58,few clouds
268,kirakira,SB,-10.4544,161.9205,80.31,84,100,11.95,light rain
269,vieira de leiria,PT,39.8695,-8.9324,50.49,80,75,16.11,light rain
270,kushiro,JP,42.975,144.3747,14.95,67,75,8.05,broken clouds
271,pangnirtung,CA,66.1451,-65.7125,-18.4,57,75,0.0,broken clouds
272,erenhot,CN,43.6475,111.9767,9.75,74,100,19.35,overcast clouds
273,rio bueno,CL,-40.3167,-72.9667,75.34,36,60,7.96,broken clouds
274,jorpeland,NO,59.0225,6.0408,34.74,90,100,6.58,overcast clouds
275,fortuna,US,40.5982,-124.1573,53.92,66,100,10.36,overcast clouds
276,nazareno,MX,25.3833,-103.4167,77.31,11,94,7.27,overcast clouds
277,svetlaya,RU,46.5389,138.3297,6.66,66,47,9.04,scattered clouds
278,gazanjyk,TM,39.2446,55.5154,27.23,66,1,9.69,clear sky
279,castlerea,IE,53.7667,-8.5,32.95,79,100,11.97,snow
280,san pedro,PH,14.35,121.0167,78.03,85,75,2.3,broken clouds
281,kemi,FI,65.8596,24.8228,29.97,86,100,6.91,overcast clouds
282,mocuba,MZ,-16.8392,36.9856,72.19,99,98,2.82,light rain
283,cap-chat,CA,49.1001,-66.6821,32.0,100,100,2.3,snow
284,dunedin,NZ,-45.8742,170.5036,59.81,74,78,3.0,broken clouds
285,ust-ishim,RU,57.6935,71.1665,6.35,89,31,5.77,scattered clouds
286,yenagoa,NG,4.9247,6.2642,79.34,78,100,5.12,overcast clouds
287,fort nelson,CA,58.8053,-122.7002,8.19,85,20,2.3,few clouds
288,tatarsk,RU,55.219,75.9828,-0.17,96,7,7.02,clear sky
289,beian,NO,63.6559,9.5683,37.49,60,0,14.97,clear sky
290,newport,GB,51.5877,-2.9984,36.82,89,45,6.62,light snow
291,porto novo,BJ,6.4965,2.6036,82.22,80,100,5.99,overcast clouds
292,santa rosa,PH,14.3122,121.1114,78.78,87,100,14.25,overcast clouds
293,hofn,IS,64.2539,-15.2082,23.02,58,0,16.11,clear sky
294,hovd,MN,48.0056,91.6419,6.4,60,100,3.98,overcast clouds
295,homer,US,59.6425,-151.5483,35.76,94,100,5.01,light snow
296,mareeba,AU,-17.0,145.4333,75.92,96,91,4.14,light rain
297,gigmoto,PH,13.7796,124.39,76.89,93,100,12.01,overcast clouds
298,belfast,GB,54.5833,-5.9333,35.42,88,20,6.91,snow
299,durango,MX,24.8333,-104.8333,69.13,18,39,22.5,scattered clouds
300,kasane,BW,-17.8167,25.15,65.01,97,89,4.23,light rain
301,eqbaliyeh,IR,35.3022,51.5358,33.62,66,48,5.59,scattered clouds
302,talusan,PH,7.4267,122.8103,79.48,83,77,3.44,broken clouds
303,chernyshevskiy,RU,63.0128,112.4714,-60.99,100,67,2.91,broken clouds
304,mehamn,NO,71.0357,27.8492,35.55,80,0,19.57,clear sky
305,belyy yar,RU,53.6039,91.3903,19.29,80,20,11.18,light snow
306,hami,CN,42.8,93.45,13.55,51,37,4.54,scattered clouds
307,paoua,CF,7.2427,16.4406,72.14,27,69,4.74,broken clouds
308,salamiyah,SY,35.0113,37.0532,48.2,90,7,4.0,clear sky
309,bagan,RU,54.1001,77.6646,-2.58,96,6,7.38,clear sky
310,santa luzia,BR,-19.7697,-43.8514,80.94,53,20,9.22,few clouds
311,orsha,BY,54.5153,30.4053,34.02,99,100,15.48,light snow
312,mbinga,TZ,-10.9333,35.0167,60.58,96,97,0.6,moderate rain
313,saint-francois,FR,46.4154,3.9054,36.84,88,0,3.44,clear sky
314,kajaani,FI,64.2273,27.7285,30.25,80,100,16.11,overcast clouds
315,sarangarh,IN,21.6,83.0833,60.96,64,0,3.78,clear sky
316,celestun,MX,20.8667,-90.4,78.6,63,3,9.1,clear sky
317,cotonou,BJ,6.3654,2.4183,82.38,83,20,6.91,few clouds
318,cruzeiro do sul,BR,-29.5128,-51.9853,83.52,70,45,10.65,scattered clouds
319,oxapampa,PE,-10.5775,-75.4017,62.01,96,97,1.48,overcast clouds
320,haines junction,CA,60.7522,-137.5108,17.69,95,100,0.78,overcast clouds
321,lewistown,US,40.5992,-77.5714,44.64,93,100,0.0,overcast clouds
322,pemba,MZ,-12.974,40.5178,79.5,83,40,3.44,light rain
323,arraial do cabo,BR,-22.9661,-42.0278,75.06,88,0,18.41,clear sky
324,vila franca do campo,PT,37.7167,-25.4333,55.81,78,60,9.55,broken clouds
325,cururupu,BR,-1.8283,-44.8683,73.94,88,92,3.4,overcast clouds
326,mpulungu,ZM,-8.7623,31.1141,70.63,88,100,1.54,moderate rain
327,hasaki,JP,35.7333,140.8333,39.29,83,91,12.95,overcast clouds
328,shebunino,RU,46.4339,141.8603,14.85,94,100,7.7,snow
329,tual,ID,-5.6667,132.75,82.99,75,98,11.03,overcast clouds
330,gushikawa,JP,26.3544,127.8686,60.03,73,75,3.44,broken clouds
331,vostok,RU,46.4856,135.8833,-10.59,99,100,3.53,overcast clouds
332,katete,UG,-0.7818,29.7544,65.57,63,99,2.55,overcast clouds
333,shingu,JP,33.7333,135.9833,46.92,61,100,4.68,overcast clouds
334,honiara,SB,-9.4333,159.95,80.87,86,100,7.25,overcast clouds
335,nizwa,OM,22.9333,57.5333,62.58,80,31,1.16,scattered clouds
336,tibati,CM,6.4667,12.6333,70.39,26,91,0.22,overcast clouds
337,shatrovo,RU,56.5167,64.6333,3.34,78,45,6.49,scattered clouds
338,port moresby,PG,-9.4431,147.1797,78.22,78,20,5.75,haze
339,urusha,RU,54.05,122.9,-36.63,100,100,2.59,overcast clouds
340,cherskiy,RU,68.75,161.3,-48.14,99,57,4.54,broken clouds
341,whitianga,NZ,-36.8333,175.7,66.63,69,88,11.48,overcast clouds
342,east london,ZA,-33.0153,27.9116,75.51,94,86,3.13,overcast clouds
343,plettenberg bay,ZA,-34.0527,23.3716,72.34,88,100,13.69,light rain
344,ust-tsilma,RU,65.441,52.1498,16.97,92,74,7.54,broken clouds
345,mogadishu,SO,2.0371,45.3438,76.59,79,85,16.71,overcast clouds
346,kedrovyy,RU,56.1667,91.8167,-10.79,100,100,1.86,overcast clouds
347,avila,ES,40.5833,-5.0,32.65,95,98,20.47,light snow
348,thaton,MM,16.9206,97.3714,63.43,85,18,3.87,few clouds
349,kaeo,NZ,-35.1,173.7833,76.32,61,41,7.18,scattered clouds
350,deputatskiy,RU,69.3,139.9,-34.8,100,98,1.16,overcast clouds
351,norden,DE,53.6,7.2,33.01,96,25,1.99,snow
352,portland,US,45.5234,-122.6762,51.28,74,100,14.97,overcast clouds
353,baykit,RU,61.67,96.37,-44.57,98,23,2.86,few clouds
354,vagur,FO,61.4732,-6.8119,37.53,66,100,33.04,light rain
355,praya,CV,14.9215,-23.5087,73.94,78,75,23.02,broken clouds
356,port keats,AU,-14.25,129.55,82.99,82,100,9.28,overcast clouds
357,ariano irpino,IT,41.1489,15.0833,51.96,90,79,23.13,broken clouds
